Depth,TotalNodes,PVNodes,ResearchedNodes,ResearchRate(%),Score,Time(s)
1,785,388,3,0.773196,40,0.0003506
2,3022,949,7,0.737619,-50,0.0082554
3,51886,24044,13,0.0540675,10,0.0307152
4,256629,105264,23,0.0218498,20,0.273718
5,1497034,647315,17,0.00262623,50,1.62813
1,640,308,1,0.324675,-15,0.0003182
2,2003,570,5,0.877193,-50,0.0023837
3,82286,35909,25,0.0696204,-50,0.0614056
4,364263,92450,11,0.0118983,-80,0.808192
5,7031301,3142574,26,0.000827347,-70,5.99928
1,119,58,0,0,140,5.8e-05
2,777,286,0,0,50,0.0017536
3,8390,3378,0,0,50,0.0071907
4,53064,21978,4,0.0182,10,0.0456324
5,695543,281371,71,0.0252336,0,0.608329
1,81,39,0,0,540,5.5e-05
2,605,254,0,0,610,0.0012932
3,887,476,1,0.210084,715,0.0007752
4,5777,2231,0,0,565,0.0066666
5,46155,20955,6,0.0286328,585,0.0508167
1,227,112,0,0,175,0.0001146
2,1532,499,3,0.601202,90,0.0025072
3,14376,6524,6,0.0919681,160,0.008266
4,105508,39377,23,0.0584097,155,0.139628
5,138512,57676,1,0.00173382,190,0.154666
1,432,141,4,2.83688,-70,0.0006268
2,1622,656,7,1.06707,-130,0.0017132
3,26383,12233,3,0.0245238,-100,0.0178199
4,82371,25920,9,0.0347222,-130,0.145948
5,411815,169173,4,0.00236444,-110,0.365467
1,85,35,2,5.71429,80,9.62e-05
2,903,344,11,3.19767,125,0.0010295
3,1884,856,0,0,125,0.0010744
4,14868,6051,2,0.0330524,135,0.0115209
5,47923,19032,23,0.120849,130,0.0416328
1,125,61,0,0,15,6.67e-05
2,704,234,3,1.28205,5,0.0009712
3,3299,1376,7,0.508721,45,0.003112
4,16212,6482,3,0.046282,10,0.0180404
5,30412,12445,8,0.0642828,70,0.0455417
1,151,71,2,2.8169,45,0.0001126
2,3984,1810,5,0.276243,-60,0.0035166
3,17403,5786,9,0.155548,-55,0.0323189
4,121230,55695,2,0.00359099,-55,0.157441
5,277772,139763,6,0.00429298,-75,0.332416
1,153,75,0,0,30,6.81e-05
2,566,221,1,0.452489,-20,0.0004966
3,4089,1766,2,0.11325,-70,0.003165
4,18947,6945,0,0,-70,0.0917629
5,84309,35403,0,0,-70,0.0692675
1,80,37,0,0,-260,6.34e-05
2,119,72,0,0,-260,0.0001225
3,1135,369,4,1.08401,-265,0.0012395
4,2547,914,13,1.42232,-295,0.0030207
5,14175,6203,18,0.290182,-325,0.0072663
1,970,355,1,0.28169,-50,0.0016767
2,2417,901,5,0.554939,-55,0.0048755
3,204395,66850,17,0.0254301,-130,0.467882
4,150418,72093,5,0.00693549,-120,0.284586
5,6064854,2871885,9,0.000313383,-130,3.82859
1,231,113,0,0,-90,0.0001378
2,2139,946,2,0.211416,-130,0.0016611
3,20217,8074,4,0.0495417,-140,0.022449
4,237069,109180,5,0.00457959,-160,0.178501
5,1116232,498125,3,0.000602258,-180,0.748783
1,343,95,6,6.31579,-100,0.0004329
2,575,153,1,0.653595,-100,0.0008361
3,9499,4052,3,0.0740375,-100,0.005992
4,53187,18282,16,0.0875178,-190,0.0601794
5,387546,162663,15,0.00922152,-180,0.271087
1,79,38,0,0,120,4.9e-05
2,1254,581,4,0.688468,85,0.0009984
3,3730,1707,0,0,85,0.0019112
4,44763,19769,10,0.0505842,80,0.0406923
5,69022,27625,2,0.00723982,110,0.0685388
1,624,272,4,1.47059,-145,0.0005674
2,2457,741,1,0.134953,-105,0.0051687
3,64213,30921,0,0,-105,0.0345511
4,237308,106658,23,0.0215643,-90,0.559686
5,1208200,508339,0,0,-90,1.09222
1,219,51,5,9.80392,-95,0.0003128
2,326,110,0,0,-95,0.0003826
3,7527,3056,8,0.26178,-40,0.0060989
4,26016,9079,15,0.165216,-110,0.0284083
5,104194,45154,17,0.0376489,-110,0.0840612
1,1094,361,3,0.831025,120,0.0030115
2,4012,1650,1,0.0606061,0,0.0098496
3,301283,142213,17,0.0119539,50,0.234069
4,1454231,553706,38,0.00686285,5,2.24644
5,23649378,11493125,46,0.000400239,20,12.6711
1,108,51,0,0,30,7.43e-05
2,3181,1415,3,0.212014,40,0.0026738
3,4340,1997,0,0,40,0.0024002
4,121753,59415,0,0,90,0.0555025
5,172452,77888,9,0.0115551,110,0.566249
1,624,178,1,0.561798,-155,0.0005945
2,720,211,2,0.947867,-170,0.0007251
3,8075,3668,2,0.0545256,-30,0.0047535
4,57863,27188,9,0.0331028,-60,0.0333207
5,264917,113641,26,0.0228791,-80,0.196285
1,246,86,2,2.32558,120,0.0002055
2,4518,1162,6,0.516351,90,0.0055725
3,29127,8790,5,0.0568828,80,0.0308165
4,477701,198046,4,0.00201973,95,0.375166
5,1778787,544495,20,0.00367313,85,2.0468
